Function,Discription
ABS,Evaluates the absolute value of a scalar quantity
ABS_DELTA_MASS,"Get the absolute value of the difference between the reconstructed and the PDG mass (for reference see PDG_MASS()), e.g. ABS_DELTA_MASS(“J/psi(1S)”) < 10.*MeV"
ACCEPT,"Return specified bool value, regardless of the arguments"
ADDRESSOF,Return address of input. E.g. for pointer comparison
ADJUST_ANGLE,Adjust angle if larger than pi
ALL,Accept everything; always evaluates to ‘true’.
ALLPVX,vector of x-coordinates of all primary vertices
ALLPVY,vector of y-coordinates of all primary vertices
ALLPVZ,vector of z-coordinates of all primary vertices
ALLPV_FD,Calculate flight distance with respect to all specified primary vertices.
ALLPV_IP,Calculate Impact Parameter with respect to all specified primary vertices.
ALV,Compute the cosine value of angle between two decay products.
ASYM,Evaluates the asymmetry value between the application of the functor on the reference particle and the sum of the results of the application of the functor to each related particle
BACK,Back element of range
BESTLHCBIDOVERLAP,Return the particle with the highest overlap in LHCbIDs for a given input particle Args: Particles: DataHandle of container of Particles to search for largest overlap VPFrac: Minimum overlap fraction in VP to be considered for best overlap UTFrac: Minimum overlap fraction in UT to be considered for best overlap FTFrac: Minimum overlap fraction in FT to be considered for best overlap MuonFrac: Minimum overlap fraction in the Muon to be considered for best overlap UseMuonNeighbours: Use neighbouring muon hits for overlap check
BEST_PV,"Given list of vertices, get best PV of particle."
BKGCAT,Background category of composite particle.
BPV,Determine Best Primary Vertex of a particle
BPVCORRM,Compute the corrected mass of the composite using the BPV().
BPVCORRMERR,Compute the corrected mass error of the composite using the BPV().
BPVDIRA,Cosine of angle between particle momentum and flight direction (BPVFDVEC())
BPVDLS,Decay length with respect to the BPV()
BPVETA,Eta (pseudorapidity) coordinate of the distance vector between ENDVERTEX_POS() and BPV_POS()
BPVFD,Flight distance (magnitude of BPVFDVEC())
BPVFDCHI2,FDCHI2 with respect to the BPV()
BPVFDIR,Normalized flight direction vector (unitvector of BPVFDVEC())
BPVFDVEC,Distance vector between ENDVERTEX_POS() and BPV_POS()
BPVIP,Impact parameter with respect to the BPV().
BPVIPCHI2,Impact parameter Chi2 with respect to the BPV(). More precisely that means the difference in the chi2 of the PV fit (of the BPV) between including and excluding the object the function is called on.
BPVLTIME,Lifetime with respect to the BPV()
BPVVDRHO,Rho coordinate of the distance vector between ENDVERTEX_POS() and BPV_POS()
BPVVDX,X distance between ENDVERTEX_POS() and BPV_POS()
BPVVDY,Y distance between ENDVERTEX_POS() and BPV_POS()
BPVVDZ,Z distance between ENDVERTEX_POS() and BPV_POS()
BPVX,X position of BPV_POS()
BPVY,Y position of BPV_POS()
BPVZ,Z position of BPV_POS()
BPV_POS,Position of BPV()
BREMBENDCORR,Correction factor accounting for bending biases in track due to brem.
BREMENERGY,Brem momentum-recovery energy.
BREMHYPODELTAX,Test statistic of being first-state like of CaloHypo (photon) for brem recovery
BREMHYPOENERGY,Energy of CaloHypo (photon) associated to track for brem recovery.
BREMHYPOID,"All significant bits representation of CellID (32bits), i.e. CellID.all(), for CaloHypo (photon) associated to track for brem recovery 0 is invalid/unavailable (see Detector/Calo/include/Detector/Calo/CaloCellID.h)"
BREMHYPOISNEUTRAL,If the CaloHypo is neutral (as opposed to charged/unassigned).
BREMHYPOMATCH_CHI2,2D chi2 of CaloHypo (photon) associated to track for brem recovery
BREMPIDE,Brem-based DLL for electron-ID.
BREMTRACKBASEDENERGY,Track-based brem energy determination
BTRACKING_BPVCORRM,Compute the corrected mass of the composite using the associated heavy flavour track.
BTRACKING_NHITS,Number of hits on heavy flavour track.
BTRACKING_NPRVELO3DEXPECT,Number of crossed VELO sensors according to pattern recognition window.
BTRACKING_TRACK,Returns heavy flavour track object associated to composite.
BUNCHCROSSING_ID,Extracts bunch crossing id from ODIN
BUNCHCROSSING_TYPE,Extracts bunch crossing type from ODIN
CALL,Return an element of a matrix :param Row: row of element :param Col: column of element
CALOCELLID_ALL,Retrieve bitwise information (32bits) of Calo CellID. 0 is invalid/unavailable (see Detector/Calo/include/Detector/Calo/CaloCellID.h)
CALOCELLID_AREA,Retrieve area code of CellID
CALOCELLID_COLUMN,Retrieve column code of CellID
CALOCELLID_ROW,Retrieve row code of CellID
CALOCLUSTER,Get the CaloCluster of a CaloHypo.
CALO_CLUSTER_MASS,Retrieve the CALO cluster mass obtained from MergedPi0Alg.
CALO_NEUTRAL_1TO9_ENERGY_RATIO,Fraction of highest E cell (seed) to 9 (3x3) cells forming the cluster.
CALO_NEUTRAL_4TO9_ENERGY_RATIO,Fraction of highest 2x2 cell (seed) to 9 (3x3) cells forming the cluster.
