Branch,Content
ALLPVX,Vector of x-coordinates of all primary vertices
ALLPVY,Vector of y-coordinates of all primary vertices
ALLPVZ,Vector of z-coordinates of all primary vertices
BUNCHCROSSING_ID,Bunch crossing identifier from ODIN
BUNCHCROSSING_TYPE,Bunch crossing type from ODIN
Decision,Global event decision
EVENTNUMBER,Event number from ODIN
EVENTTYPE,Extracts event type from ODIN
FillNumber,LHC fill number from conditions
GPSTIME,GPS time from ODIN
Hlt1DiMuonHighMassDecision,Trigger decision: Hlt1DiMuonHighMass
Hlt1DiMuonLowMassDecision,Trigger decision: Hlt1DiMuonLowMass
Hlt1DiMuonNoIPDecision,Trigger decision: Hlt1DiMuonNoIP
Hlt1DiMuonNoIP_SSDecision,Trigger decision: Hlt1DiMuonNoIP SS
Hlt1DiMuonSoftDecision,Trigger decision: Hlt1DiMuonSoft
Hlt1GlobalDecision,Trigger decision: Hlt1Global
Hlt1LowPtDiMuonDecision,Trigger decision: Hlt1LowPtDiMuon
Hlt1LowPtMuonDecision,Trigger decision: Hlt1LowPtMuon
Hlt1PhysDecision,Trigger decision: Hlt1Phys
Hlt1SingleHighPtMuonDecision,Trigger decision: Hlt1SingleHighPtMuon
Hlt1TrackMVADecision,Trigger decision: Hlt1TrackMVA
Hlt1TrackMuonMVADecision,Trigger decision: Hlt1TrackMuonMVA
Hlt1TrackMuonMVADecisionHlt1TwoTrackMVADecision,Trigger decision: Hlt1TrackMuonMVAHlt1TwoTrackMVA
Hlt1_TCK,Hlt1 trigger configuration key
Hlt2QEE_DiJetIncSVTag_pT25M40FullDecision,Trigger decision: Hlt2QEE DiJetIncSVTag pT25M40Full
Hlt2QEE_DiSVTagJet10GeVFullDecision,Trigger decision: Hlt2QEE DiSVTagJet10GeVFull
Hlt2QEE_DiSVTagJet15GeVFullDecision,Trigger decision: Hlt2QEE DiSVTagJet15GeVFull
Hlt2QEE_DiSVTagJet20GeVFullDecision,Trigger decision: Hlt2QEE DiSVTagJet20GeVFull
Hlt2QEE_DiSVTagJet25GeVFullDecision,Trigger decision: Hlt2QEE DiSVTagJet25GeVFull
Hlt2QEE_DiSVTagJet30GeVFullDecision,Trigger decision: Hlt2QEE DiSVTagJet30GeVFull
Hlt2QEE_DiSVTagJet35GeVFullDecision,Trigger decision: Hlt2QEE DiSVTagJet35GeVFull
Hlt2QEE_DiTopoTagJet10GeVFullDecision,Trigger decision: Hlt2QEE DiTopoTagJet10GeVFull
Hlt2QEE_DiTopoTagJet15GeVFullDecision,Trigger decision: Hlt2QEE DiTopoTagJet15GeVFull
Hlt2QEE_DiTopoTagJet20GeVFullDecision,Trigger decision: Hlt2QEE DiTopoTagJet20GeVFull
Hlt2QEE_DiTopoTagJet25GeVFullDecision,Trigger decision: Hlt2QEE DiTopoTagJet25GeVFull
Hlt2QEE_DiTopoTagJet30GeVFullDecision,Trigger decision: Hlt2QEE DiTopoTagJet30GeVFull
Hlt2QEE_DiTopoTagJet35GeVFullDecision,Trigger decision: Hlt2QEE DiTopoTagJet35GeVFull
Hlt2QEE_IncJet15GeVFullDecision,Trigger decision: Hlt2QEE IncJet15GeVFull
Hlt2QEE_IncJet25GeVFullDecision,Trigger decision: Hlt2QEE IncJet25GeVFull
Hlt2QEE_IncJet35GeVFullDecision,Trigger decision: Hlt2QEE IncJet35GeVFull
